title,authors,averageRating,ratingsCount,publishedDate,description,price,currency
O ano em que disse sim,Shonda Rhimes,N/A,N/A,2023-06-26,"O ano em que disse sim, livro da premiada Shonda Rhimes com mais de 30 mil exemplares vendidos, chega agora em edição revista, com capa nova. Para o público Shonda Rhimes é uma das mulheres mais poderosas de Hollywood — a mente por trás das séries Grey’s Anatomy, How to Get Away With Murder, Scandal, Inventando Anna e Bridgerton. Com várias séries de sucesso e três filhas para cuidar ela tinha motivos de sobra para recusar qualquer convite. Uma festa em Hollywood? “Não vai dar.” Discursar em público? “Não tenho tempo.” Participar de talk- shows? “Nem pensar!”Mas foi durante um jantar em família que tudo mudou. A irmã mais velha de Shonda disse para ela seis palavrinhas estarrecedoras: Você nunca diz “sim” para nada. Dias depois, a afirmação da irmã ainda não havia abandonado sua mente e ela percebeu que o “não” era apenas uma amardura. O “não”, para Shonda, poderia até representar segurança, mas — contraditoriamente — resultava em uma vida infeliz.Rhimes então deu início ao que chamou de “Ano do Sim”: ela se comprometeria a, durante um ano, dizer “sim” para tudo, fosse para a carreira, fosse para a vida íntima. De entrevistas e discursos em público até cuidar da saúde e lidar com os sentimentos mais difíceis. Ela precisou reformular a forma como lidava consigo mesma e com aqueles ao seu redor para que pudesse reencontrar o bem mais precioso de sua vida: seu verdadeiro eu.O ano em que disse sim é um relato comovente, inspirador, divertido e profundamente pessoal. Shonda Rhimes faz um convite ao leitor para repensar suas atitudes e dar a si mesmo o poder de mudar a própria vida para sempre com uma única resposta: “SIM.” “O ano em que disse sim é tão divertido de ler quanto as séries de TV de Shonda Rhimes são de assistir. A voz autoral de Shonda é revigorante e forte.” - Los Angeles Times“Um relato sincero e inspirador sobre dizer ‘sim’ à vida, com o mesmo estilo dinâmico e sagaz de suas aclamadas séries. É indiscutivelmente fácil se identificar com Shonda Rhimes, uma mulher calorosa e engraçada. [...] O ano em que disse sim faz jus ao espaço que ocupa na bolsa, e também seria um ótimo presente. Rhimes disse ‘sim’ a partilhar seus insights. Segui-los pode não levar você a ser capa de revista, mas tenho certeza de que ficará grato mesmo assim.” - Kirkus",N/A,N/A
Um bestseller pra chamar de meu,Marian Keyes,N/A,N/A,2017-12-15,"Em Um bestseller pra chamar de meu, Marian Keys nos traz divertidas histórias dos bastidores do mercado editorial. No seu caminho para o sucesso, a agente literária Jojo Harvey não esperava se apaixonar por um dos seus chefes – e justamente o casado. O romance de estreia de Lily Wright, cliente de Jojo, é um sucesso instantâneo. Seu segundo livro, porém, se nega a sair de sua cabeça, e Lily ainda tem que lidar com a culpa de ter roubado o namorado de sua melhor amiga, Gemma. Enquanto isso, os e-mails hilários da recém-abandonada Gemma Hogan chamam a atenção de Jojo, que a aceita como cliente. Este livro reúne ingredientes infalíveis para quem curte o mundo dos livros e é apaixonado por boas histórias de vida contemporâneas.",42.9,BRL
As irmãs Blue,Coco Mellors,N/A,N/A,2024-06-10,"""Manter a qualidade do best-seller Cleópatra e Frankenstein não deveria ser fácil, mas As Irmãs Blue atrai imediatamente."" — Stylist UM DOS LIVROS MAIS AGUARDADOS DE 2024 PELO SUNDAY TIMES Quatro irmãs. Agora, três... Precisam lidar com a perda e as memórias deixadas pela irmã e retornar para a casa de sua família em Nova York nesta história inesquecível de luto, identidade e complexidades familiares. As três irmãs Blue são excepcionais e excepcionalmente diferentes. Avery, a mais velha, uma viciada em recuperação, é uma advogada conservadora e mora com a esposa em Londres. Bonnie, uma ex-boxeadora, trabalha como segurança em Los Angeles após uma derrota devastadora. Lucky, a mais nova, é modelo em Paris, enquanto tenta superar seu jeito festeiro. Por fim, Nicky, cuja morte inesperada deixou Avery, Bonnie e Lucky arrasadas, era, definitivamente, o elo que juntava essa complexa família. Um ano depois, enquanto cada uma enfrenta a dor da perda, o vício e a ambição, as irmãs voltam a Nova York para impedir a venda do apartamento onde foram criadas. Contudo, voltar para casa nunca é tão fácil quanto parece. À medida que as irmãs enfrentam as decepções de sua infância e a perda da única pessoa que as mantinha unidas, elas percebem que os maiores segredos que guardavam talvez não fossem uma da outra, mas sim delas mesmas. Construído com a combinação exclusiva de humor e emoção de Coco Mellors, As Irmãs Blue retrata o que é preciso para continuar vivendo depois de uma perda e, por fim, para se apaixonar pela vida novamente.",55.92,BRL
Depois daquela noite,Karin Slaughter,N/A,N/A,2023-08-15,"Para Sara Linton se tornar uma médica de sucesso, ficar noiva do homem de seus sonhos, e ser a mulher determinada que é hoje, ela precisou deixar para trás as lembranças de uma noite de terror que aconteceu quinze anos atrás, quando ainda era estudante de Medicina. Mas, quando está de plantão uma noite na emergência do hospital, é encaminhada para o caso de Dani Cooper, vítima de um ataque brutal, que foi confessado somente a Sara antes da morte da jovem. Agora, três anos mais tarde, a médica é parte indispensável de uma investigação liderada pelo agente da GBI Will Trent, que não demora a concluir que os crimes ocorridos com Dani e Sara estão diretamente ligados. Da autora best-seller Karin Slaughter, Depois daquela noite traz de volta o imbatível investigador Will Trent e a habilidosa legista Sara Linton em mais um caso eletrizante e de tirar o fôlego. ""Uma das melhores autoras de literatura policial dos Estados Unidos."" — Washington Post ""Eu seguiria Karin a qualquer lugar."" — Gillian Flynn, autora de Garota exemplar ""A narrativa de Slaughter é, ao mesmo tempo, revolucionária e um protesto sobre quão frequentemente violências sexuais são ignoradas."" — Sunday Times",49.9,BRL
Tubarão,Peter Benchley,N/A,N/A,2016-03-25,"Devore ou seja devorado Você não está vendo, mas ele está lá no fundo, observando suas pernas se mexerem nas águas turvas. A mais perfeita máquina assassina da natureza, o predador que mantém seu posto no topo da cadeia alimentar desde a época dos dinossauros. Um torpedo de carne, ossos e dentes. Não há para onde fugir. Se você sempre devorou livros, chegou a hora da revanche. Tubarão é o clássico romance de Peter Benchley que deu origem ao primeiro blockbuster de Steven Spielberg. Mas, mesmo antes do sucesso na telona, o frenesi alimentar de Jaws se transformou num fenômeno de vendas. O best-seller internacional foi o principal responsável em elevar a fera de barbatanas dorsais ao status de perfeita encarnação do mal. Se já existiu um bicho-papão na natureza, ele está dentro d'água. A história se passa em Amity, um balneário ficcional situado em Long Island, Nova York. Quando o corpo de uma turista é encontrado na praia o chefe de polícia Martin Brody ordena o fechamento das praias da região.",39.9,BRL
Milagres da vida moderna,Louise L. Hay,5,1,2013-07-12,"Louise Hay é um fenômeno. Ela já vendeu mais de 50 milhões de livros e seus best sellers ajudam a curar pessoas há anos, no mundo todo. O sucesso do trabalho de Louise pode ser explicado, também, pelo fato de ela própria ter passado por traumas marcantes tanto fisicamente quanto emocionalmente. Assim, a orientadora espiritual prefere chamar os seus leitores de ""amigos"". Milagres da vida moderna é uma homenagem à obra de Louise Hay. Alguns dos leitores que vivenciaram a experiência da cura através das milagrosas palavras de Louise, compartilham suas emocionantes histórias de superação. Este livro é um verdadeiro estímulo para que todos encontrem o poder da cura e da felicidade em si mesmos. ""Enquanto estiver lendo este livro, que apresenta contribuições de gente do mundo inteiro, pense nas formas de causar um impacto positivo sobre os demais... Pois é isso que envolve estar vivo. O ato de acender uma vela na escuridão tem o poder de acender outra vela, e depois outra, e assim por diante...""",37.9,BRL
O elenco,Danielle Steel,N/A,N/A,2023-11-27,"Acompanhe a história de uma mulher talentosa e criativa que está recrutando um elenco memorável para interpretar uma saga familiar dramática em sua primeira série de televisão. Kait Whittier é uma colunista muito respeitada e com fãs por todo o país. Ela ama seu trabalho e adora passar tempo com seus filhos, que já são adultos. No entanto, depois de dois casamentos, ela prefere evitar as complicações e as inseguranças de um novo amor. Mas tudo muda após um encontro ao acaso com Zack Winter, um produtor de Los Angeles que está visitando Manhattan. Inspirada pela história de sua avó destemida, Kait criou o roteiro para uma série de televisão. E quando ela compartilha suas ideias como Zack, ele se impressiona e decide que aquele será seu próximo grande projeto. Em questão de semanas, Kait embarca no universo vibrante de atores e produtores que querem dar vida para sua ideia. Um diretor competente e descolado. Um jovem roteirista excêntrico. Uma atriz mundialmente famosa que está lidando com uma tragédia pessoal. Uma dama da era de ouro de Hollywood. Uma estrela em ascensão cujo ego é maior do que seu talento. Um bad boy que tem casos por toda a cidade de Los Angeles. Um desconhecido inocente com um grande talento. E um protagonista rude. Enquanto segredos são compartilhados, o elenco se torna uma segunda família para Kait. Mas no meio desse ano mágico, ela é obrigada a enfrentar o maior desafio que uma mãe pode passar. A força das mulheres – através das diferentes gerações e entre amigas, colegas e família – é o ponto principal deste livro onde pessoas reais encontram a coragem para perseverar diante das dores e alegrias da vida.",47.9,BRL
O segredo do best-seller,"Jodie Archer, Matthew L. Jockers",N/A,N/A,2017-08-30,"Se perguntarmos para a maioria das pessoas sobre sucesso no mundo dos livros de ficção, vamos ouvir que é um jogo incerto de bolas de cristal. As vendas de E. L. James ou de Dan Brown parecem uma excentricidade — ocorrências aleatórias em um mercado incompreensível. É frequente ouvirmos que só a moda justifica o sucesso que fazem. Mas e se houvesse um algoritmo que pudesse revelar um DNA secreto de best-sellers, independente do gênero?",31.92,BRL
Todas as pequenas luzes,Jamie McGuire,N/A,N/A,2018-10-01,"Novo livro da autora da série best-seller Belo Desastre. Quando Elliott Youngblood vê Catherine Calhoun pela primeira vez, ele é apenas um garoto com uma câmera nas mãos que nunca viu algo tão triste e tão belo. Os dois se sentem excluídos e logo se tornam amigos. Porém, no momento em que Catherine mais precisa dele, Elliott é forçado a sair da cidade. Alguns anos depois, Elliott finalmente retorna, mas ele e Catherine agora são pessoas diferentes. Ele é um atleta bem-sucedido, e ela passa todo o tempo livre trabalhando na misteriosa pousada de sua mãe. Catherine ainda não perdoou Elliott por abandoná-la num momento difícil, mas ele está determinado a reconquistar a amizade dela — e a ganhar seu coração. Bem quando Catherine está pronta para confiar outra vez em Elliott, ele se torna o principal suspeito em uma tragédia local. Apesar da desconfiança de todos na cidade, Catherine se agarra ao seu amor por Elliott. Mas um segredo devastador que ela esconde pode destruir qualquer chance de felicidade que os dois ainda têm.",37.9,BRL
O Inferno,Auguste Callet,N/A,N/A,2024-06-08,"Descubra os Mistérios do ""Inferno"" por Auguste Callet Prepare-se para uma jornada pelas profundezas do desconhecido com ""O Inferno"" por Auguste Callet. Nesta obra fascinante, Callet convida os leitores a explorarem os recantos mais sombrios da mente humana e os mistérios do além. Embarque em uma narrativa envolvente que mergulha nas profundezas do subconsciente e desvenda os segredos ocultos do além-vida. Callet tece uma teia de suspense e intriga, levando os leitores a questionarem suas próprias crenças e temores mais profundos. Os temas de redenção, punição e expiação ganham vida nas páginas deste livro, enquanto os personagens lutam contra forças sobrenaturais e enfrentam os dilemas morais que permeiam o universo do ""Inferno"". A cada reviravolta, os leitores são levados a refletir sobre o destino da alma e os limites da própria existência. Com uma prosa envolvente e imagens vívidas, Callet cria um mundo rico em detalhes e emoções, transportando os leitores para além das fronteiras da realidade conhecida. Seja você um entusiasta do sobrenatural ou um apreciador da literatura emocionante, ""O Inferno"" promete uma experiência de leitura inesquecível. Prepare-se para se perder nas profundezas do desconhecido com ""O Inferno"" por Auguste Callet. Adquira seu exemplar agora e deixe-se envolver pela magia das palavras deste mestre da literatura.",2.08,BRL
O Diário de um Banana 17: Frauda Xeia,Jeff Kinney,N/A,N/A,2022-11-14,"Com mais de 275 milhões de exemplares vendidos em todo o mundo — 79 edições traduzidas pelo mundo, em 65 línguas — O Diário de um Banana é a coleção infantojuvenil mais lida em Portugal. O LIVRO INFANTIL MAIS AGUARDADO DO ANO! Uma aventura cheia de ritmo, que promete pôr os fãs a rockar! O Greg quer ser famoso e, por isso, junta se à banda de rock do seu irmão Rodrick. Só que aquilo que parecia ser um passaporte para o estrelato acaba por se transformar num sarilho de todo o tamanho. Com concertos desastrosos, discussões entre músicos e um som de rebentar os tímpanos, o Greg vai perceber que o caminho para a fama está cheio de problemas malcheirosos. Afinal, o que se poderia esperar de uma banda chamada Frauda Xeia? Elogios da crítica: «No mundo dos livros, o Jeff Kinney é uma estrela de rock.» — NRP «O Jeff Kinney é, a par com a J. K. Rowling , um dos melhores autores infantojuvenis do planeta.» — The Independent «O mundo está louco pela coleção O Diário de um Banana e pelo Jeff Kinney!» The Sun «Jeff Kinney está no topo, juntamente com J. K. Rowling, dos autores infantojuvenis mais bem-sucedidos do mundo.» The Independent",N/A,N/A
A ponte de Haven,Francine Rivers,N/A,N/A,2015-08-03,"Às vezes escolhemos o caminho errado, mas Deus nunca fecha as portas. Da autora de Amor de redenção Hollywood, década de 50. Lena Scott é a estrela mais quente a chegar às telonas desde Marilyn Monroe. Poucos sabem que seu verdadeiro nome é Abra. Menos ainda sabem o preço que ela pagou para finalmente sentir que é alguém. Para o pastor Ezekiel Freeman, Abra sempre será a menininha que roubou seu coração na noite em que ele a encontrou, recém-nascida, abandonada debaixo de uma ponte nos arredores de Haven. Ele e seu filho, Joshua, a observam crescer e se tornar uma mulher de beleza exótica. No entanto, as circunstâncias de seu nascimento deixaram cicatrizes profundas em seu coração, que a tornam vulnerável a um homem charmoso e persuasivo, o qual a atrai para o mundo glamoroso do cinema. E ela vai descobrir tarde demais que a fama chega a um preço terrível. Agora, o que ela mais quer é um caminho de volta para casa. A ponte de Haven é uma envolvente saga sobre tentação, graça e amor incondicional.",42.9,BRL
A janela de Overton,Glenn Beck,N/A,N/A,2012-08-01,"Um plano para destruir os EUA vem sendo preparado há cem anos, e agora está prestes a ser colocado em prática... Alguém será capaz de impedi-la? E se você descobrisse que tudo em que você acreditou até hoje não passa de uma grande farsa? Que a roupa que você veste todos os dias pela manhã, assim como o carro que você dirige não são escolhas suas? Que o governante que você elegeu na última eleição para comandar sua cidade e seu país também não depende de você? E se chegasse à conclusão de que toda autonomia e livre-arbítrio que você julga ter, na verdade, atendem a um outro comando que não as suas ideias e a sua própria vontade?",14.9,BRL
É assim que acaba,Colleen Hoover,4.5,7,2018-02-05,"Da autora das séries Slammed e Hopeless. Um romance sobre as escolhas corretas nas situações mais difíceis. As coisas não foram sempre fáceis para Lily, mas isso nunca a impediu de conquistar a vida tão sonhada. Ela percorreu um longo caminho desde a infância, em uma cidadezinha no Maine: se formou em marketing, mudou para Boston e abriu a própria loja. Então, quando se sente atraída por um lindo neurocirurgião chamado Ryle Kincaid, tudo parece perfeito demais para ser verdade. Ryle é confiante, teimoso, talvez até um pouco arrogante e se sente atraído por Lily. Porém, sua grande aversão a relacionamentos é perturbadora. Além de estar sobrecarregada com as questões sobre seu novo relacionamento, Lily não consegue tirar Atlas Corrigan da cabeça — seu primeiro amor e a ligação com o passado que ela deixou para trás. Ele era seu protetor, alguém com quem tinha grande afinidade. Quando Atlas reaparece de repente, tudo que Lily construiu com Ryle fica em risco. Com um livro ousado e extremamente pessoal, Colleen Hoover conta uma história arrasadora, mas também inovadora, que não tem medo de discutir temas como abuso e violência doméstica. Uma narrativa inesquecível sobre um amor que custa caro demais.",37.9,BRL
As irmãs Blue + brindes,Coco Mellors,N/A,N/A,2024-06-10,"“Manter a qualidade do best-seller Cleópatra e Frankenstein não deveria ser fácil, mas As Irmãs Blue atrai imediatamente.” — Stylist UM DOS LIVROS MAIS AGUARDADOS DE 2024 PELO SUNDAY TIMES Quatro irmãs. Agora, três... Precisam lidar com a perda e as memórias deixadas pela irmã e retornar para a casa de sua família em Nova York nesta história inesquecível de luto, identidade e complexidades familiares. As três irmãs Blue são excepcionais e excepcionalmente diferentes. Avery, a mais velha, uma viciada em recuperação, é uma advogada conservadora e mora com a esposa em Londres. Bonnie, uma ex-boxeadora, trabalha como segurança em Los Angeles após uma derrota devastadora. Lucky, a mais nova, é modelo em Paris, enquanto tenta superar seu jeito festeiro. Por fim, Nicky, cuja morte inesperada deixou Avery, Bonnie e Lucky arrasadas, era, definitivamente, o elo que juntava essa complexa família. Um ano depois, enquanto cada uma enfrenta a dor da perda, o vício e a ambição, as irmãs voltam a Nova York para impedir a venda do apartamento onde foram criadas. Contudo, voltar para casa nunca é tão fácil quanto parece. À medida que as irmãs enfrentam as decepções de sua infância e a perda da única pessoa que as mantinha unidas, elas percebem que os maiores segredos que guardavam talvez não fossem uma da outra, mas sim delas mesmas. Construído com a combinação exclusiva de humor e emoção de Coco Mellors, As Irmãs Blue retrata o que é preciso para continuar vivendo depois de uma perda e, por fim, para se apaixonar pela vida novamente.",N/A,N/A
Os segredos que vão mudar sua vida,"Napoleon Hill, Dale Carnegie, Joseph Murphy",N/A,N/A,2014-08-26,"Pela primeira vez, as obras-primas Pense e enriqueça, O poder do subconsciente e Como falar em público e influenciar pessoas no mundo dos negócios foram reunidas em um único livro. Os segredos que vão mudar sua vida, dá acesso às principais características da filosofia dos três mestres do sucesso: Napoleon Hill, Joseph Murphy e Dale Carnegie. Apostando no conceito de que uma boa ideia é a coisa mais valiosa que você pode ter, Os segredos que vão mudar sua vida também ensina a usar seu pensamento para que essa ideia seja transformada em ação e a convencer, através de um discurso forte, claro e franco, outras pessoas a investirem em você e sua carreira. Além disso, há uma introdução que analisa os pormenores de cada um dos livros e atualiza os conselhos e as dicas para um mundo globalizado e amplamente conectado.",44.9,BRL
Um passo de sorte,Jojo Moyes,N/A,N/A,2023-06-28,"Em novo best-seller, Jojo Moyes traz a história de duas mulheres bem diferentes que acabam cruzando caminhos por causa de um sapato. Livro é inspirado em conto da autora. Sam não diria que está no melhor momento da sua vida, mas é grata pelo que tem, como seu emprego — que parece estar por um fio — e sua família, ainda que praticamente carregue todos nas costas. Ela sabe que basta um dia ruim para que tudo vá pelos ares — só espera muito que esse dia não seja aquele com reuniões tão importantes pela frente... Nisha tem tudo com que sempre sonhou, e muito mais: um casamento com um homem incrivelmente rico, viagens internacionais, roupas de marca... Mas, agora que seu marido quer se divorciar, está prestes a perder tudo isso. Os caminhos de Sam e Nisha, duas mulheres completamente diferentes, nunca deveriam ter se cruzado, mas esse encontro vai mudar a vida de ambas para sempre. E o motivo não poderia ser mais estranho: um par de sapatos Louboutin. Fãs de Jojo Moyes podem identificar certa semelhança com um conto da autora: o livro é inspirado em “Sapatos de pele de crocodilo”, narrativa curta que integra Paris para um e outros contos, lançado pela Intrínseca em 2017. Com uma história dinâmica e cheia de reviravoltas, Um passo de sorte traz não apenas uma Jojo Moyes mais divertida do que nunca, como também um enredo emocionante sobre como as amizades — por mais improváveis que sejam — podem fazer toda a diferença na nossa vida.",46.9,BRL
Era uma vez um sonho,J.D. Vance,N/A,N/A,2017,"""Era uma vez um sonho retrata o impacto da decadência cultural e econômica de uma sociedade sobre a história pessoal de cada um A história de J.D. Vance poderia ser igual à de milhares de outras pessoas que cresceram nas mesmas condições que ele. Seus avós migraram para a região dos Estados Unidos conhecida como Cinturão da Ferrugem, onde se tornaram operários de classe média. Mas a relativa ascensão social não significou que seus descendentes conseguissem escapar da situação de pobreza material e cultural que os prendia a um ciclo contínuo de violência doméstica, abuso de álcool e drogas e falta de perspectivas de forma geral. É nesse contexto que o autor de Era uma vez um sonho nasce e cresce, alternando momentos de negação da (des)estrutura familiar e outros de proximidade, mas nunca deixando de tentar entender o que estava errado e o que os levava a cometerem sempre os mesmos equívocos, comuns também às famílias vizinhas. J.D Vance transforma sua experiência pessoal numa narrativa emocionante sobre a degradação da classe trabalhadora branca americana – mas que poderia se passar em qualquer outro lugar do mundo. É pioneiro ao trazer uma perspectiva interna do declínio de um grupo social, visto pelos olhos de alguém que conseguiu romper com essa situação e se formar em direito numa das mais prestigiadas universidades do país. Best-seller #1 do New York Times desde novembro de 2016, o livro tem sido indicado também para quem deseja compreender as condições que suscitaram a vitória de Donald Trump nas eleições presidenciais dos EUA. Com uma honestidade pungente, apresentando personagens de uma realidade dura, cruel e por vezes também bem-humorada, ao alcance de todos nós, J.D. Vance construiu um retrato muito maior do que o da crise da sociedade americana. Expôs, com sua própria história, que certos sonhos podem dilacerar um indivíduo e esquartejá-lo entre dois mundos. “Uma leitura essencial.”—David Brooks, The New York Times “Era uma vez um sonho é um livro de memórias belíssimo, mas também uma crítica cultural e social contundente. J.D. Vance nos oferece uma explicação emocionante sobre por que é tão difícil para alguém que cresceu da mesma maneira que ele fazer disso um livro espetacular.” – The Wall Street Journal “Este livro lança um olhar extremamente honesto sobre o que a perda da confiança em si mesmo significa para toda uma família. Você não vai ler nada mais importante este ano.” – The Economist """,N/A,N/A
Quente ou fria,Janet Evanovich,N/A,N/A,2013-09-01,"A caçadora de recompensas Stephanie Plum, de Trenton, Nova Jersey, herdou uma ""garrafa da sorte"" do seu tio Pip. O problema é que ele não especificou se a garrafa traria boa ou má sorte. Vinnie, o pervertido dono da agência de fianças onde Stephanie trabalha, foi sequestrado por causa de uma dívida de jogo. Para manter seu emprego, Stephanie precisa libertá-lo ou conseguir o dinheiro do resgate, e contará com a gerente do escritório Connie, especialista em bombas de fedor, e a engraçada arquivista Lula. Enquanto isso, Stephanie se mete em diversas aventuras, caçando vários fora da lei, como um polígamo, um ladrão de papéis higiênicos e um traficante de drogas que tem um jacaré de estimação. Para tornar sua vida ainda mais confusa, Stephanie se vê dividida entre dois homens, o policial mais quente de Trenton, Joe Morelli, e o misterioso e perigoso especialista em segurança, Ranger. A garrafa da sorte vai ajudá-la a se dar bem... Mas com quem? Mais um livro divertido da série iniciada por Um dinheiro nada fácil - título que ganhou as telonas com o filme Como agarrar meu ex-namorado, estrelado pela Katherine Heigl -, Quente ou fria é uma história de tirar o fôlego, com muita ação e romance. E rende boas gargalhadas.",25.9,BRL
Amor de redenção,Francine Rivers,N/A,N/A,2011-08-15,"Califórnia, 1850. Uma época em que os homens vendiam a própria alma por um punhado de ouro e as mulheres vendiam o próprio corpo por um lugar para dormir. Angel aprendeu a não esperar dos homens nada além de traição. Vendida como prostituta ainda criança, a única maneira que ela encontra para sobreviver é mantendo o ódio bem vivo em seu coração. E o que ela mais odeia são os homens que a usaram, deixando-a com um imenso vazio interior. Até o dia em que ela conhece Michael Hosea. Um homem que busca o divino em todas as coisas, Michael obedece ao chamado de Deus para que se case com Angel e a ame incondicionalmente. Aos poucos, ele vai conquistando um lugar cada dia maior no coração de sua esposa, que começa a se abrir para ele. Mas, com a chegada inesperada desse amor, Angel é invadida por sentimentos arrebatadores de medo e de desprezo por si mesma. E então ela foge, de volta para a escuridão, para longe do amor perseverante de seu marido, morrendo de medo da verdade que ela já não pode negar: sua cura definitiva deve vir daquele que a ama mais até do que Michael... aquele que jamais vai abandoná-la. Amor de redenção é um clássico atemporal, uma história transformadora sobre o amor incondicional, redentor e absoluto que está ao alcance de todos nós.",39.9,BRL
O que eu sei de verdade,Oprah Winfrey,N/A,N/A,2014-10-20,"""O que eu sei de verdade é: sua jornada começa com a decisão de se levantar, sair e viver plenamente."" – Oprah Winfrey Entre os talentos de Oprah Winfrey está sua capacidade de compreender a natureza humana como poucos e, ao mesmo tempo, colocar essa sabedoria em palavras. Desde que foi questionada sobre as coisas de que tinha certeza na vida, ela passou a escrever uma coluna mensal em sua revista com reflexões sobre relacionamentos amorosos, família, autoestima, medos, fracassos e superação. Nesse livro, você irá encontrar uma seleção, feita pela própria autora, das melhores crônicas lançadas ao longo dos 14 anos de existência da coluna. Em textos curtos, Oprah oferece mensagens profundas que vão ajudá-lo a fazer as pazes com seu corpo, a construir relacionamentos mais harmoniosos e a mudar sua maneira de encarar os problemas. Ao fim da leitura, você se sentirá inspirado a se tornar uma pessoa melhor e extrair o máximo do que a vida tem a oferecer.",19.99,BRL
O Colecionador:,Breno Ferreira Da Silva,N/A,N/A,2023-05-22,"Leia o conto gratuitamente e avalie😁: ⭐⭐⭐⭐⭐ Um homem particularmente estranho, Edival segue a sua vida colecionando fotos e mais fotos de várias e lindas mulheres, para evitar que o tempo as destrua de sua cabeça.",31.11,BRL
O Grande Jogo,Jennifer Lynn Barnes,N/A,N/A,2024-09-05,"Avery Grambs e os irmãos Hawthorne estão de volta no quinto livro do universo Jogos de Herança Bem-vindo ao Grande Jogo, uma competição anual organizada pela bilionária Avery Grambs e pelos quatro infames irmãos Hawthorne, cuja fortuna familiar ela herdou. Criado para dar a qualquer pessoa uma chance de fama e riqueza, o jogo deste ano requer um dos sete bilhetes dourados para participar. Entre os sete jogadores estão Lyra, que é assombrada pela morte do pai e por todos os mistérios que ele deixou para trás; Gigi, a meia-irmã de Grayson Hawthorne que está determinada a provar que é capaz de mais coisas do que lhe dão crédito; e Rohan, que tem um grande leque de habilidades ecléticas e perigosas, mas bem poucos valores morais. Alguns dos participantes estão lá pelo dinheiro. Outros pelo poder. Cada um deles tem segredos. Em meio a tudo isso está Grayson, encarregado de um papel vital na competição deste ano. Mas, à medida que as tensões aumentam e os desafios alucinantes levam os jogadores aos seus limites — físicos, mentais e emocionais —, logo fica óbvio que nem todos estão jogando de acordo com as regras. Com milhões em jogo, eles farão o que for preciso para ganhar. Em O Grande Jogo, Jennifer Lynn Barnes, autora best-seller do New York Times, apresenta uma série totalmente nova no mundo de Jogos de Herança, em que personagens favoritos dos fãs e novos personagens se enfrentam em um jogo inesquecível.",39.9,BRL
Uma mulher não é um homem,Etaf Rum,N/A,N/A,2019-08-10,"Palestina, 1990. Isra, de dezessete anos, prefere ler livros a se encontrar com os pretendentes que seu pai escolheu para ela. Mas seus desejos são irrelevantes – em breve, a menina ingênua e sonhadora estará prometida, casada e morando no Brooklyn. Ali, Isra luta para se adaptar às expectativas de sua sogra opressiva, Fareeda, e de seu estranho novo marido, Adam. A pressão se intensifica quando ela começa a ter filhos – aliás, filhas, quatro! Brooklyn, 2008. Por insistência de sua avó, Deya, de dezoito anos, deve se reunir com seus pretendentes e se preparar para o casamento, embora seu único desejo seja ir para a faculdade. Sua avó é inflexível, pensa que a única maneira de garantir um futuro digno para Deya é através do casamento com o homem certo. Mas o destino tem vontade própria, e logo Deya se encontrará em um caminho inesperado, imerso por revelações que a forçarão a questionar tudo o que ela achava que sabia sobre sua família, o passado e seu próprio futuro. Uma mulher não é um homem é uma história que dá voz aos gritos reprimidos... É sobre a família e as formas como o silêncio e a vergonha podem destruir aqueles que juramos proteger.",29.9,BRL
O poder do marido que ora,Stormie Omartian,N/A,N/A,2013-01-01,"Orar pode mudar tudo. Há muitas coisas que uma mulher deseja ouvir de seu marido. Três das quatro mais importantes provavelmente são: ""Eu te amo"", ""Você está linda"" e ""As contas estão pagas"". Porém, aquilo que vai fazê-la sentir-se mais amada do que qualquer outra coisa é ""Estou orando por você hoje"". Se a falta de tempo, o excesso de trabalho, a falta de perdão, as lutas, a criação dos filhos, as carreiras, a diferença de interesses, o tédio ou má comunicação infiltraram-se entre você e sua esposa, Deus pode agir por intermédio de sua oração a fim de derrubar o muro que separa vocês dois, derreter a armadura de proteção e moldá-los juntos em união. A oração dará a você uma visão de esperança quanto à maneira como Deus pode redimir, restaurar e endireitar as coisas. Orar por sua esposa não vai apenas transformar o coração dela, mas o seu também. ""Homens, encaremos os fatos: quando finalmente nos casamos, trazemos conosco para dentro do casamento anos de experiência, hábitos, características de personalidade, memórias, idéias preconcebidas e ambições pessoais. De repente, unimo-nos por toda a vida a uma companheira que também trouxe consigo para dentro do casamento as mesmas coisas. Deparamos com a necessidade de nos comunicarmos, comprometermos, sujeitarmo-nos um ao outro e sermos altruístas. Certamente não é pouca coisa. Ou Deus tem um tremendo senso de humor ou então deseja manter-nos sempre crescendo. Provavelmente as duas coisas. Há algo em nossas esposas que gostaríamos de mudar? Orar por essas mudanças convida Deus a fazer grandes coisas em nossa vida. Sem a oração, o sucesso de nosso casamento depende de nossa própria sabedoria e esforços. Mas os recursos para o sucesso que estão reservados para nós quando oramos são incríveis! Não só vemos respostas a nossas orações por nossas esposas; coisas acontecem dentro de nós. É com essa certeza de que Deus responde às orações de um marido pela esposa que recomendo a você este livro.",38.9,BRL
